Atom-type,Atom-based,Topol-based,traits,kernel,Top2,ACC,Balanced_acc,AUC,MCC,Jaccard,Precision,Recall,F1,Selectivity,G_mean
,1,1,11,GIN,0.676470588,0.865122616,0.669590785,0.837825178,0.331305803,0.255639098,0.396501458,0.418461538,0.407185629,0.920720031,0.620714041
1,1,1,111,TAG,0.867647059,0.895776567,0.778419114,0.915155408,0.51532936,0.4,0.524421594,0.627692308,0.571428571,0.929145921,0.763686943
1,1,1,111,ClusterGCN,0.860294118,0.896117166,0.738201691,0.888823027,0.474492374,0.363256785,0.530487805,0.535384615,0.532924962,0.941018767,0.709793611
1,1,1,111,FiLM,0.838235294,0.860694823,0.743878267,0.869603158,0.417352238,0.320598007,0.410638298,0.593846154,0.485534591,0.893910379,0.728591271
1,1,1,111,SAGE,0.860294118,0.901226158,0.738380226,0.890619568,0.487456721,0.372294372,0.556634304,0.529230769,0.542586751,0.947529682,0.70813972
1,1,1,111,Transformer,0.867647059,0.896117166,0.77456972,0.907332292,0.512136377,0.397233202,0.52617801,0.618461538,0.568599717,0.930677901,0.758675482
1,1,1,111,MF,0.867647059,0.909741144,0.805128009,0.916646731,0.572985038,0.451345756,0.579787234,0.670769231,0.621968616,0.939486787,0.793838037
1,1,1,111,GAT,0.720588235,0.892029973,0.667208556,0.829500633,0.384436094,0.279545455,0.516806723,0.378461538,0.436944938,0.955955573,0.601491826
1,1,1,111,GCN,0.698529412,0.879087193,0.688217895,0.830406859,0.380047292,0.288577154,0.452830189,0.443076923,0.447900467,0.933358866,0.643078358
1,1,1,111,GIN,0.75,0.885558583,0.667610995,0.846169166,0.368298765,0.272727273,0.479087452,0.387692308,0.428571429,0.947529682,0.606094027
